beta_log__,sigma_log__,gamma_log__,kappa_log__,tint_log__,dispersion,beta,sigma,gamma,kappa,tint
-17.40303818609876,-2.2302608328949285,-1.1513173926315368,-2.5941095668781413,2.45823131799249,14.708971630611089,2.7666648177569637e-08,0.10750038684154131,0.3162199090768341,0.0747123728359683,11.684127747326736
-17.0840214497671,-2.4583186009371136,-0.7762553412265372,-2.656805526153283,2.6676746329431564,12.497669149485326,3.8063064916748406e-08,0.08557872204822448,0.4601258034049092,0.07017202678900226,14.406429974749628
-17.009352577236484,-2.4990620246679605,-0.7192779238392084,-2.5958052353547036,2.556102749680266,13.076340175992696,4.10139912999615e-08,0.08216202844812844,0.48710385508560844,0.0745857927697847,12.885501308097732
-17.218360263969974,-2.387228727496422,-0.8953558882160525,-2.6086128401664683,2.6962919475831892,14.2344381763268,3.327830133309262e-08,0.09188396688195523,0.4084622058848215,0.07363661870930718,14.82465906893887
-17.433499393530393,-2.3241406672895057,-1.293666160990821,-2.7720711416335284,2.577291861743474,8.971001187343198,2.683659506042316e-08,0.09786750867793674,0.2742634437452622,0.06253235716088792,13.16144683526542
-17.363456506810678,-2.3304670010390347,-1.1989897734790929,-2.71755356985549,2.4870595436575975,11.830178945021176,2.8783702171407595e-08,0.09725032048251023,0.30149864003781207,0.06603610970312417,12.025862556115115
-17.37984671177435,-2.346745260512399,-1.1902197851812155,-2.6797444302957114,2.560991545164651,11.6879230872543,2.8315776566691083e-08,0.09568006968065178,0.3041544080882973,0.06858067905863215,12.948650123756186
-17.36490607787234,-2.3464051178246703,-1.2008937538821436,-2.796693013216422,2.5790497031584847,11.935474179734772,2.8742008376052777e-08,0.09571262009229345,0.30092513867656207,0.061011493579807,13.18460291799182
-17.165363650591726,-2.2640613345723395,-0.7193880750666243,-2.344712642615924,2.5110197137483548,13.993856075361514,3.508950862973342e-08,0.10392754196083583,0.48705020295307017,0.09587474848940916,12.317483966473098
-17.15538602356484,-2.2480221068848434,-0.6886829758417621,-2.326546561307534,2.5154719357239617,13.423712606502024,3.544137111665029e-08,0.105607899262566,0.5022370920622888,0.09763233284175743,12.372446400962112
-16.995310182260198,-2.4043185155575837,-0.5929127591389796,-2.4524765783723548,2.56138692749042,13.940123450926357,4.159398871099412e-08,0.09032703110608951,0.5527150120907486,0.08608013808932895,12.953770803404092
-17.120206733353893,-2.314153563722019,-0.6769127178074509,-2.396360096238057,2.575693048709497,13.472596813941593,3.671036365413659e-08,0.09884981867402551,0.5081834788332286,0.09104875959518996,13.1404209552236
-17.12291924551856,-2.3229260372498723,-0.6730891454440437,-2.390316416403764,2.618437282045034,13.100092729137224,3.6610921276457407e-08,0.09798645371636586,0.5101302746239288,0.09160069532892233,13.71427528639269
-17.261765105769364,-2.313928834860141,-0.9299380869523813,-2.5143582323949807,2.521853998548303,15.33758491949929,3.1864761090215455e-08,0.09887203557756921,0.39457813915048173,0.08091482406009665,12.451660637429775
-17.151557857216055,-2.3967971990979398,-0.8829370741912006,-2.5317077434464927,2.4239342546550033,15.332187042261477,3.557730660673869e-08,0.09100897061855337,0.4135664507891498,0.07952309920824877,11.29019053721865
-17.145414251420696,-2.3681575163629716,-0.8664346087519392,-2.5885136666480397,2.4246544519108717,15.093047419294507,3.579655234388324e-08,0.09365312175575681,0.4204479414613596,0.07513162778068465,11.298324630185919
-17.164191902464182,-2.3242419261154246,-0.8009085123131109,-2.4580825814875764,2.4897103536062795,14.656016751497104,3.513064879401486e-08,0.09785759923063038,0.44892092860139476,0.08559892267487101,12.0577831212045
-17.43835947256116,-1.8969202572425963,-0.8568280332747519,-2.072250676388259,2.2191527948170635,16.878688365000247,2.6706483519804704e-08,0.15002996213852682,0.4245064694106115,0.12590209770581173,9.19953367083007
-17.49385288542218,-1.852862389617718,-0.9026186237157112,-2.0157682573362297,2.126457037285808,16.73051551924758,2.5264820942030323e-08,0.1567877358107137,0.40550639953429124,0.13321801832206073,8.385106003929232
-17.405675979085164,-2.000043441600879,-0.9453723663931084,-2.2685862943590944,2.2898319924939146,14.470036088050687,2.7593765454077558e-08,0.13532940418295214,0.38853486663503634,0.1034583363815078,9.873278756880389
