beta_log__,sigma_log__,gamma_log__,kappa_log__,tint_log__,dispersion,beta,sigma,gamma,kappa,tint
-16.924975928315423,-2.286129269070804,-0.9025599754523692,-2.3683014716597124,3.1207903416327443,10.862106197702076,4.462480670862276e-08,0.10165919667493331,0.4055301824778053,0.09363964086316998,22.664285094618155
-17.28465976090337,-2.0721828035293446,-1.2851040020554019,-2.400992060440441,3.1711057618595095,11.045377043613662,3.114351620460502e-08,0.12591064333113108,0.2766218128987812,0.0906280002235329,23.83382432478323
-17.164407777366623,-2.0646714054494057,-1.1186860108798569,-2.271616639206439,3.029907057513458,9.613790545246,3.512306578715364e-08,0.12685996921450446,0.3267088045187382,0.10314529649389792,20.69530902651985
-17.43250339361394,-2.0456453339502247,-1.6811692992580294,-2.6988416920878238,3.1140678501904553,10.691261847207635,2.6863337622445293e-08,0.12929672348307006,0.1861561764487767,0.06728340251836293,22.512435607326765
-17.293620089660525,-1.9829894276861433,-1.2898481174834577,-2.308818488624051,3.0173804603150978,9.672056112610187,3.0865706552383403e-08,0.13765710563611436,0.27531259508419365,0.09937859916767008,20.43768417658259
-17.231057764060687,-1.962475495905068,-1.0916947573580846,-2.1510422084962486,3.066574376349338,11.598852034752959,3.2858421452605955e-08,0.14051015771677733,0.33564717089839124,0.11636282023507684,21.468234475522607
-17.359025626420717,-2.0589088873686823,-1.507217313021031,-2.583091219294182,3.1134402187711583,7.74092566226239,2.891152228159811e-08,0.12759311242756768,0.2215255573637463,0.07554013162128596,22.498310528550007
-17.30556730758416,-2.088296086108644,-1.4199934080646546,-2.517305482329306,3.1086882738314805,9.435018164735828,3.049914130742901e-08,0.12389806770020519,0.2417156102654596,0.0806766989297055,22.39165341075993
-17.308215129553176,-2.151555888075148,-1.44887798497324,-2.5386347897320496,3.1457611661423766,10.476799038711095,3.0418491830886126e-08,0.11630306238008782,0.2348336271894547,0.07897414253848402,23.237356232235484
-17.268824888785794,-2.127259185605841,-1.4178723256010914,-2.6172986930269935,3.131423102927286,10.427194498677308,3.164059500405782e-08,0.11916345158268775,0.24222885313036038,0.07299979157119048,22.906554743120395
-17.30584719954379,-2.149745230400286,-1.4890520313792786,-2.5968907172338085,3.1149402515151547,9.251225698926024,3.04906060375338e-08,0.11651383817641756,0.22558640304181438,0.0745048751685346,22.53208405539269
-17.195073248415632,-2.1127236937948295,-1.2044648152610042,-2.361600657018542,3.081738833485832,11.213828202130243,3.406234726774788e-08,0.12090820063090844,0.29985243302473913,0.09426920969600314,21.796269547676218
-17.010789067946877,-2.075782519175032,-0.8196737563245191,-2.1142825102008045,3.0758341113488514,11.422792378022617,4.095511737850747e-08,0.12545821561248677,0.44057536598896996,0.12071987376578634,21.667947857173456
-17.23309950947793,-1.9422834951571748,-1.1000562749113758,-2.165952101189621,3.0344474497275638,10.957928696032468,3.279140136344951e-08,0.14337617688065704,0.332852351934414,0.11464073304175446,20.789487488277665
-16.943232663982204,-2.1286819658478646,-0.7346513000856214,-2.117691956600997,3.12308369879091,12.659138885074391,4.3817495267666994e-08,0.11899402873252671,0.47967269164269666,0.12030898667352638,22.716322041920094
-16.979835210894183,-2.135435702395518,-0.8105831251753092,-2.1492991795659644,3.097132035614331,11.713849282542489,4.2242660640065854e-08,0.11819308214729558,0.44459873390403765,0.11656582086374483,22.13437955203386
-17.15954127136807,-2.000860691337546,-1.0289585082887536,-2.2090336959572565,3.0666324384808106,11.631340878834722,3.529440898067571e-08,0.13521885144377196,0.3573789740502889,0.10980670392829821,21.469481003162883
-17.24523392581226,-1.8756445264098887,-1.0781551057336478,-2.1188130183529426,3.001788030917208,10.186124181398828,3.2395901281355386e-08,0.15325615736478962,0.34022262176823437,0.12017418844283931,20.121482610618585
-17.267859272765453,-1.8327246819006282,-1.0878655391282093,-2.1085193783477423,3.005753970403695,9.811105851365992,3.1671162425307576e-08,0.1599770867364659,0.33693490109047564,0.1214176069485589,20.201441644571617
-17.27731452595232,-1.8592524430769855,-1.0979258519922341,-2.0749831199767264,2.998416569210166,12.4437663654498,3.137311484402147e-08,0.15578904802954563,0.33356222410914915,0.12555854690650328,20.053758032070284
-17.15211699538693,-2.1167774332785187,-1.1786817956323956,-2.345780367712044,3.015830799732544,12.287697278098086,3.555741953692599e-08,0.1204190623734686,0.3076840618671841,0.09577243524529211,20.406037230361225
-17.207483284121018,-2.0206166636805474,-1.222801398064369,-2.4077399400897135,3.0242014712644503,10.84725003054161,3.3642244458994286e-08,0.1325736864903153,0.2944042670830846,0.09001851207420486,20.57756637077118
-17.201975604354654,-2.030510074329616,-1.2167682107233417,-2.394417752776981,3.0239766556345677,10.797376970821226,3.382804636711678e-08,0.13126854735284754,0.29618583203396864,0.09122577941902389,20.57294073220349
-17.24682053334348,-2.015815969985112,-1.2252102680745407,-2.271891983453632,3.0189098803539522,10.699438221965805,3.234454245432652e-08,0.1332116622891605,0.2936959389509543,0.10311689993947669,20.46896589565638
-17.090916871333707,-2.04511493494079,-0.9401809911771708,-2.1767190809684425,3.0804959107634837,10.670375064584828,3.78015068509483e-08,0.12936532052742267,0.3905571415644334,0.11341301982942052,21.76919529807848
-17.25283396545451,-1.8103378546560889,-1.0463517510587321,-2.0423219588686687,2.9476995847042082,9.649685631678295,3.215062438504898e-08,0.1635988548297589,0.3512167407552307,0.12972713981331796,19.062052614791025
-17.157497066323927,-2.062467576070953,-1.1332809878889352,-2.357693124744411,3.0619311748381275,9.09351920392803,3.536663178350275e-08,0.12713985523884982,0.3219751250275751,0.09463829030292041,21.368784199272625
-17.21521223010208,-2.0597507468247045,-1.165548539842582,-2.2493721943135685,3.0582016155866616,8.922500589305937,3.338322762185789e-08,0.12748574216102568,0.3117516069442724,0.10546541556976127,21.28923648363551
-17.248285918178794,-2.091860731258786,-1.3019923667416144,-2.3807793297351214,3.0451808145949633,10.885010493039328,3.229717996292246e-08,0.12345720128705591,0.2719893503054016,0.0924784781915075,21.01383046663244
-17.227032411077527,-2.085625498299775,-1.2815288049114106,-2.4153622060112454,3.0488773225776598,10.828304861149459,3.299095476514641e-08,0.12422939058586009,0.27761256041775884,0.08933497539587236,21.091652004052648
