beta_log__,sigma_log__,gamma_log__,kappa_log__,tint_log__,dispersion,beta,sigma,gamma,kappa,tint
-15.740005497998704,-2.252598556594249,-1.0296752395831401,-2.4211461681604574,2.5113606941855537,7.444169210005549,1.4594945146949565e-07,0.10512569425775581,0.3571229211271641,0.08881975671859818,12.321684703685083
-15.835861809584246,-2.16329187749488,-1.108383971270092,-2.3367229421832905,2.4385692414058866,8.000361641605123,1.3260887781551924e-07,0.11494610904031807,0.3300919683860511,0.0966438272722412,11.456637328612619
-16.14495679571006,-2.031719133904312,-1.7836804635968304,-2.8187807808060525,2.407505565374791,5.165710110886067,9.73496407225193e-08,0.13110993176598348,0.1680186214769298,0.05967865973835463,11.106222816975132
-15.83264242419245,-1.9725658211091064,-0.9046052402702323,-2.059445200023945,2.296569052191148,8.5138081689972,1.3303648484616933e-07,0.13909949352998147,0.4047016134733517,0.12752470097325252,9.940020193355807
-15.928487311309098,-2.310778058000213,-1.560030399856687,-2.8249539128226386,2.493075683682994,5.152032769137065,1.2087760752716793e-07,0.09918405058607069,0.21012968319141326,0.05931139026101268,12.098429897949039
-15.895331198565453,-2.145717868628978,-1.2973133012952782,-2.5067035645722773,2.3190307570113893,5.5535531291411635,1.2495262161594674e-07,0.11698402773030958,0.27326498834576146,0.08153657677956808,10.165816383230823
-15.942025334601748,-2.156745542489006,-1.3927579418453078,-2.5164769740303816,2.3272735046316337,5.502390153994764,1.1925219094983995e-07,0.11570105314015094,0.24838931581983295,0.08074356794123905,10.249956940324415
-15.98090081892098,-2.079389125347569,-1.425562658456774,-2.516039764779164,2.2736915852859982,7.300380560037443,1.1470516091529923e-07,0.12500655221325335,0.24037317715108347,0.08077887749438845,9.715199183407686
-15.861620721267837,-2.1469970690113684,-1.112424888233654,-2.3447610655926576,2.4919541031829557,8.417090086869228,1.2923663653687477e-07,0.11683447739012268,0.3287607855624986,0.09587010606109472,12.084868141616804
-15.873145691233594,-2.140921450047503,-1.1398379922919804,-2.3607486723929703,2.500944843811639,8.284527400470198,1.2775573822822514e-07,0.11754647989435961,0.3198708391603007,0.09434955983701096,12.194009954283484
-15.996332666808188,-1.91589817438959,-1.1746471056608965,-2.2229983627516376,2.332808258276759,4.873618149614396,1.1294863638820592e-07,0.1472095533394263,0.3089279793893171,0.10828394703866799,10.306845212925502
-16.05363027755001,-1.9646433754811248,-1.3660279881443802,-2.3680409567744594,2.3668623408699623,5.66433223938029,1.0665886452757001e-07,0.1402058785550931,0.25511828257262553,0.09366403856130837,10.663880115917138
-16.18254498989325,-1.854920387511565,-1.5751723176091206,-2.4705774584155784,2.291667367830207,5.629043188483948,9.375836120432752e-08,0.1564653987788682,0.20697188470780292,0.08453602886294788,9.891416568953986
-16.0335094895864,-2.0227308261538335,-1.436790625817197,-2.452866145338276,2.331916280246273,6.350907600333586,1.0882666067364436e-07,0.13229370024988102,0.2376893700081676,0.08604661064212439,10.297655832403995
-15.930526512423919,-2.2329773318687343,-1.498609004333196,-2.7539329142758446,2.4405377686620624,6.203732161049408,1.2063136492956152e-07,0.10720875843447288,0.2234407491982617,0.06367693217337578,11.479212243836072
-15.858164555905448,-2.314141272530044,-1.4594060724032472,-2.751315743929875,2.3784685743409866,4.9290098227074175,1.2968407248454918e-07,0.09885103366359033,0.23237424723107014,0.06384380382249803,10.788368622154772
-15.922382859677338,-2.250323140842996,-1.3155029067774255,-2.5733911170603485,2.6728897406599956,6.148946918508548,1.2161775583703323e-07,0.10536517126988937,0.2683393396274464,0.07627644400002931,14.481757308236892
-15.90736699517342,-2.2432825853689216,-1.3228062941787304,-2.612376617469358,2.627762143649656,5.993228082322025,1.2345773141954479e-07,0.10610961818801494,0.266386692623323,0.07335998779029784,13.842757112078463
-15.803719068576946,-2.36385880390587,-1.2723829853346016,-2.7039330780743063,2.659791161904659,5.128490900717129,1.3694053333804511e-07,0.09405657614281095,0.280163200877101,0.06694170733481689,14.293303800624615
-16.009269222470984,-2.176199609927952,-1.4810277118978201,-2.6540703240534147,2.5947681516009933,4.647725239938259,1.1149688067227485e-07,0.11347194991374737,0.2274038625964207,0.0703642241935755,13.39348174410606
-15.914395171131154,-2.22816308979675,-1.5878472214932249,-2.8687290602835853,2.2985048899346023,5.546428122713662,1.2259309074228838e-07,0.10772613173069825,0.20436509128947716,0.056771033309462475,9.959281096593564
-16.014312456181322,-2.1408735280314164,-1.551728596640526,-2.7242319909345083,2.479767310949544,5.402362096969271,1.1093599138177362e-07,0.11755211309363607,0.21188139961298327,0.06559656213168812,11.93848613962047
-15.97735306350522,-2.0475433251226485,-1.475507925294222,-2.5846888907110714,2.1768240963778585,6.361013329122945,1.1511282949776707e-07,0.12905155218335698,0.22866255404907548,0.07541953967097408,8.818255808970969
-15.965483646803598,-2.012877826864933,-1.3298514453406907,-2.4371038074440308,2.2579875461151535,6.590492328468552,1.1648729253956292e-07,0.13360363276894752,0.2645165535477224,0.08741365197393176,9.563823034345681
-16.03537198184367,-2.118013264271528,-1.4959374575884137,-2.5717982784094526,2.4888400564019806,6.8658982374885404,1.0862416049679818e-07,0.12027033668287607,0.22403847968138907,0.07639803688139787,12.047293831325966
-16.001750434726237,-2.0964109792080037,-1.4759803862711314,-2.618894904011095,2.4043727265692434,7.003544563965695,1.123383615460672e-07,0.12289671654940537,0.2285545454323443,0.07288336145028729,11.071483256286093
-15.90249146544955,-2.2176407526234976,-1.2456387478461413,-2.5392583749733495,2.6265181138634732,7.777608861332094,1.24061122990234e-07,0.10886564707962766,0.2877570452231552,0.07892491078044692,13.8255470170631
-15.891982005795985,-2.207431046074925,-1.3394554997375445,-2.5608103611698523,2.428550014776162,6.25500657869313,1.2537181361835782e-07,0.10998282672331905,0.261988282438709,0.07724212105898452,11.342423803838328
-15.856199550789196,-2.2498451994347195,-1.3832895153482787,-2.6571379086300158,2.362590188312108,6.625848404223434,1.2993915288554698e-07,0.10541554168432395,0.2507523412114769,0.07014870671274782,10.618419569540784
-15.891641348178831,-2.2343579285256103,-1.3477624185789598,-2.5617864804405373,2.4106047224205653,6.561757592635643,1.2541452975701913e-07,0.10706084850646008,0.2598209812992762,0.07716676032262747,11.140696137194558
-15.867279032855446,-2.0803307107410345,-1.142989478742751,-2.302803849072186,2.330708261163479,7.043790609882879,1.285074403340009e-07,0.1248889032665589,0.31886435733462876,0.0999781267847226,10.285223578362343
-16.000260554350934,-2.0148027421156263,-1.4038796537890992,-2.4472657395374147,2.2147415116730746,5.531709320135223,1.1250585700944718e-07,0.13334670446062508,0.24564210655180163,0.08652985850851594,9.159041300334238
-16.0223148172546,-2.0331396647661153,-1.341912517986346,-2.4347708768258274,2.504273067836849,6.393502382996419,1.1005178411417519e-07,0.1309238182828909,0.2613453626041069,0.08761782002141552,12.234661963147829
-15.997285800100483,-2.0603490322258518,-1.2900697249688589,-2.381748367239932,2.489924956767528,6.47163118667015,1.1284103257108137e-07,0.12740949211455557,0.27525159051208237,0.09238890648393333,12.060371037257513
-15.992050462355948,-2.128926328596432,-1.393219794180226,-2.558409593346098,2.5404591041014646,6.813750852590408,1.13433342606703e-07,0.11896495457706745,0.2482746231219367,0.07742778423577655,12.685493596275146
-15.993901732968412,-2.1882026791359697,-1.5709965717268513,-2.7366060790383187,2.474214603937966,7.18780023132058,1.1322354105270666e-07,0.11211807979882206,0.20783795368664365,0.06478986585127458,11.872378930760874
-16.031587030107552,-2.1039920188062085,-1.6182083506774336,-2.757614024862151,2.354830085105452,5.301855359431562,1.090360767514722e-07,0.12196855433728325,0.19825358197167622,0.06344296124488306,10.53633842875613
-16.078105306312874,-2.179269997435658,-1.8805059061657063,-2.977741731449717,2.3842720923743816,6.029325636133197,1.0408007248438541e-07,0.11312408137515256,0.15251292900529898,0.05090766733780344,10.851161146536281
-15.970957682194129,-2.21804698403612,-1.5820251890330104,-2.7274107953872755,2.3769595965572514,5.463810438439181,1.1585137907199909e-07,0.10882143141553237,0.20555838180209648,0.06538837455700015,10.772101490038386
-16.091397295173454,-2.019591170435805,-1.5487283810797483,-2.572473533100342,2.4410309861736845,5.6539801576268545,1.027057949943975e-07,0.1327097096437336,0.21251804404285224,0.07634646616226352,11.48487538880069
-16.129705380849398,-2.0223811877366358,-1.7411537809071407,-2.7676093462850146,2.338713496002305,6.429576403896675,9.884574029736976e-08,0.13233996329703962,0.17531800531232297,0.06281198710309069,10.367889647663532
-15.85505742133316,-2.0238141185842697,-1.0858535329963537,-2.257653793910577,2.183421644003836,5.294809767191469,1.3008764500201806e-07,0.13215046508259964,0.33761349861977774,0.10459559993044967,8.87662701331916
-15.83547077878791,-2.105610954909726,-1.0858536709027011,-2.3321931037870947,2.38203003935549,5.294271381184808,1.326607421102201e-07,0.12177125479194412,0.3376134520607365,0.09708260122905013,10.826859520875749
-16.090200773645883,-2.1145395957888535,-1.7827191736424026,-2.8534948818507715,2.3732235119403877,6.829366172345121,1.0282875823852884e-07,0.12068884241507749,0.1681802137459812,0.05764251465749438,10.73193109409528
-16.115639690061197,-1.8530447073675347,-1.4637438767211983,-2.43417267100074,2.26740334488452,6.187319632921643,1.0024589792395577e-07,0.156759153229157,0.23136843630070578,0.0876702491918879,9.654299352457679
-16.13180934370882,-1.8693578883229192,-1.3392658123633268,-2.2241182178366365,2.370799505049316,6.827945571893916,9.863799115584712e-08,0.1542226581980627,0.2620379830217181,0.10816275258273245,10.705948323099143
-16.01686763264179,-2.0861330667538778,-1.5921176605869733,-2.7403097145885513,2.2922809922482204,4.840791443223702,1.1065289218620423e-07,0.12416635166576329,0.20349422343178522,0.06455035161132293,9.897488046302303
-16.08735156172978,-2.041263933294509,-1.4630858431092606,-2.4627620956283414,2.4747132073504785,4.607116833242249,1.0312215694087524e-07,0.12986446707997254,0.23152073461174144,0.08519929706187818,11.878300015424232
-16.07668038633793,-2.01111536665783,-1.4690877045703234,-2.5198254199825514,2.531772765856281,4.151655137589198,1.0422848397079663e-07,0.13383931148139663,0.23013534086665977,0.08047365461528531,12.575780301329813
-16.106558808136498,-2.023614500603751,-1.5497065306988473,-2.512602849735482,2.3935944064611707,5.172444203411051,1.0116036488560242e-07,0.13217684732466137,0.21231027123203394,0.08105698527631075,10.952792060578412
-16.02468241034563,-2.0205567336449692,-1.4556283906827328,-2.5679092786031927,2.3695761657324814,7.39173079853565,1.0979153447464423e-07,0.1325816318741446,0.2332537433594453,0.07669572731585222,10.692859323367863
-16.120279039455706,-1.899341651968457,-1.4093196326624684,-2.318723678005692,2.33095351621344,7.124550403473994,9.978189933614557e-08,0.1496671198489699,0.24430944678871772,0.09839909442092162,10.287746390738508
-15.643178713372862,-2.107731296533705,-0.7507678239387704,-2.175267058505369,2.350861346027645,6.689557770688429,1.6078806374909062e-07,0.1215133316710011,0.47200399760101563,0.11357781769796679,10.494605319385705
-15.717057603747637,-2.1578125404214807,-0.8691801716750217,-2.1678974130397113,2.3823549248623306,6.738762814390763,1.49337408613756e-07,0.11557766619417957,0.4192951584255286,0.11441793783859888,10.830377582071286
-15.711192886928695,-2.30507512669668,-1.1193627211952788,-2.5104990276906087,2.3310176419179873,5.61164389007844,1.502158034766226e-07,0.0997513063859741,0.3264877920897106,0.08122769425651984,10.288406120876623
-15.710071158279755,-2.266926086963445,-1.1240323582898006,-2.57875586434868,2.32715371230296,5.616589113736481,1.5038439938865982e-07,0.10363024133616351,0.32496676666712115,0.07586833583130875,10.24872914765527
-15.711195941531251,-2.2783669296324396,-1.1261455462387824,-2.5696526521820227,2.334059427660391,5.586938824284328,1.5021534462774607e-07,0.10245138048870839,0.3242807758809897,0.07656213449617298,10.319748892759007
-15.710950825675766,-2.365138606881054,-1.2216754734672632,-2.7073261438644076,2.420277185996794,5.741526018432082,1.50252169303423e-07,0.093936279251407,0.2947359307679991,0.06671495462870142,11.248976941667129
