beta_log__,sigma_log__,gamma_log__,kappa_log__,tint_log__,dispersion,beta,sigma,gamma,kappa,tint
-16.84260630048469,-1.5660498862283592,-0.7200749429821107,-1.8643257530374981,3.057659621455508,15.101915130129631,4.845616314111534e-08,0.20886860974221103,0.4867157786612367,0.15500068340044237,21.277700968777705
-16.98367192724156,-1.5489331749653874,-0.9360326205033791,-1.967202917436715,3.084708709899356,16.004960474152146,4.2080898050451465e-08,0.21247452610310036,0.3921806825535631,0.1398474745971609,21.86109799309437
-17.02138286265398,-1.7323122331270624,-1.3000808657351206,-2.4132899410440762,3.0767409959935614,14.364916568097469,4.052353734422601e-08,0.17687496063781252,0.27250975544128025,0.08952029308308646,21.687607099352554
-17.077606439658663,-1.8368639144217995,-1.4923437715545924,-2.6321964097289117,3.1784505360783415,13.237845337943703,3.8308024732739796e-08,0.15931627295085016,0.22484505205274666,0.07192032213686421,24.009522826284492
-17.01206018048062,-1.9205411425724344,-1.529418421023049,-2.719820493305302,3.1069248549116075,14.434514247576063,4.090309188761841e-08,0.1465276483237003,0.2166616365348522,0.0658865804472273,22.35220234009361
-17.007271968089107,-1.8790019810775096,-1.4858776566185357,-2.709593962288903,3.1141882864401498,14.248705389494335,4.10994142204697e-08,0.15274246958816068,0.2263036366077856,0.06656382865331084,22.515147083919558
-16.81871257493014,-1.7663599401441612,-0.8653131765240573,-2.1238487693973958,3.1193852305238132,14.719996666650403,4.96279042893006e-08,0.17095414092972033,0.4209197098117354,0.11957054232928933,22.632461618851245
-16.82021944386586,-1.7699653876461823,-0.8678461831072506,-2.12325936507735,3.1192679675388155,14.742566993618208,4.955317785759126e-08,0.1703388845531174,0.41985486661255017,0.11964103849682041,22.629807824442942
-17.15243722032945,-1.6526172677185997,-1.5150148380931425,-2.492246339209216,3.0771191351027696,15.58473182126911,3.554603498720429e-08,0.1915479198006836,0.2198049233376388,0.082723931693373,21.69580958252406
-17.06190677997517,-1.7593542038013938,-1.4383849791801233,-2.536833582334547,3.085089386311085,16.16396319741965,3.8914193555684244e-08,0.17215600562571134,0.2373107111000264,0.07911651953499207,21.86942158163122
-17.19805403510281,-1.5173971527934929,-1.3849288375315008,-2.281170151514413,3.1087592191673727,15.746518616339943,3.396096584973394e-08,0.2192819020855348,0.2503416140850604,0.10216458869540142,22.39324205048496
-17.17165071446156,-1.3854166703039104,-1.2463115907801332,-2.085609033373688,2.9981521868265486,15.266360401055826,3.4869590691273834e-08,0.25021951902481904,0.2875634950503055,0.12423143603043292,20.04845687251876
-16.927535899882166,-1.8856783919178965,-1.2753923174586366,-2.5141020769554783,3.103434915398254,13.132501610026472,4.4510714570899686e-08,0.15172609475176324,0.27932136407530617,0.08093555348728043,22.274330469034183
-16.959460499865088,-1.9200919829673837,-1.3656865798586362,-2.6352842903209877,3.1561020320473383,15.301548822357532,4.311217057081533e-08,0.14659347740712622,0.2552053969380775,0.07169858329768103,23.478897336705494
-17.05871759598951,-1.65880831564935,-1.2746003663645098,-2.328229048271975,3.094025011371252,17.281738470305633,3.9038496185208956e-08,0.19036570081148635,0.2795426605516257,0.0974682058239442,22.06571422581575
-17.164692070466923,-1.6509499338650955,-1.5221112961379593,-2.4788004573637537,3.0804281843433325,15.926038208923591,3.5113081961122635e-08,0.19186756053179144,0.21825060850901304,0.08384373943505814,21.767720998336454
-17.165533301925247,-1.6471116840212252,-1.5061569209029846,-2.46858512084071,3.084816543515166,15.822392088551375,3.508355615273887e-08,0.1926054112879767,0.2217605859079057,0.0847046210601988,21.863455481442504
-17.200947113704014,-1.5735254844118012,-1.5484047206442748,-2.451191722105898,3.051969699512085,14.756873252191076,3.386285609420575e-08,0.20731301369262303,0.2125868388580125,0.08619080977755132,21.156976293825487
-17.14358098358386,-1.6717985825389372,-1.4397797268329544,-2.419440002041617,3.1218406029334775,10.848662789270028,3.586223720253777e-08,0.18790879205115685,0.23697995325820892,0.08897142732903068,22.68810102044526
-17.035056117343554,-1.6935913460368324,-1.2531297474162972,-2.323025703897695,3.086323475316877,15.097826504069944,3.9973219588440754e-08,0.18385803905340997,0.285609510952639,0.09797668822164704,21.89642705451935
-17.03974252654095,-1.6939767435029258,-1.343498934686367,-2.40744274792281,3.0391955652831433,14.989074981028505,3.97863269941495e-08,0.18378719428361215,0.2609310886488434,0.09004526884662427,20.888433093907203
-17.082783758428747,-1.6517541227204786,-1.3344957131680986,-2.3520986758449682,3.0672790853408127,13.50959923711094,3.811020440855973e-08,0.19171332480354136,0.26329091612549116,0.09516922313549685,21.4833686653621
-17.166145211716906,-1.6105653433293154,-1.4663254277943665,-2.3889351078076673,3.064103370811073,10.017015315610305,3.5062094748094294e-08,0.19977464088324354,0.2307719171692655,0.09172731158471772,21.41525183639293
-17.20540145167525,-1.588702444000373,-1.5797844149232796,-2.484394957886747,3.052749401528955,10.873812810702173,3.371235492886123e-08,0.2041903883793097,0.20601950814912107,0.08337598523649055,21.17347886362009
-17.198837329584347,-1.5794280934161418,-1.6075300802519543,-2.5630298384153654,3.0484467869355845,10.322076943101099,3.3934374828255965e-08,0.20609293041095322,0.2003819306503756,0.07707087403862949,21.082573250618363
-17.046113097579337,-1.4306425461404986,-0.9586995686356945,-1.9125437504295386,3.065533349829083,19.05336873556657,3.953367100761775e-08,0.2391552046100048,0.38339113579283185,0.14770418573186403,21.44589710300644
-17.046595184256038,-1.4659237533724039,-0.9635416322554671,-1.8992304359212202,3.058995336279947,19.112770686337605,3.9514616944767834e-08,0.23086463096483326,0.38153921869055113,0.14968376616009213,21.30614089898148
-17.084112417497394,-1.5004976428362309,-1.1082214340434673,-2.0511788420153727,3.060246616110913,19.536669128680437,3.805960256360848e-08,0.2230191486470151,0.33014562497960254,0.1285832348888914,21.332817529848544
-17.05677603961258,-1.5391127421679058,-1.1118193719937444,-2.078751545969205,3.053402863246667,20.674863450554636,3.911436525462764e-08,0.21457139714647197,0.3289599158394262,0.1250862792265539,21.18731944314018
-16.987086483722933,-1.7634064780984666,-1.1965121536759131,-2.348987729329594,3.1355826449308215,11.96523096716313,4.193745548301415e-08,0.1714597938422885,0.30224656519348897,0.09546575049981745,23.00203395696752
-16.91812218546351,-1.5809692253080594,-0.8667784430867975,-1.9471876951943492,3.052966184462514,17.4423728115172,4.493170415536716e-08,0.20577555864189107,0.4203034018733252,0.1426747527965178,21.178069410039882
-16.816242711750345,-1.5280760554568662,-0.6247063987234017,-1.7940831560511799,3.0654214093176115,14.513095218803928,4.975062991816324e-08,0.21695267094883505,0.5354186050302003,0.16627983514119715,21.443496572676572
-17.134519567195504,-1.4661507686189696,-1.2111206213745243,-2.0999793662284514,3.03453854341675,19.350285355917613,3.6188676634618965e-08,0.23081222712217214,0.29786330035173075,0.12245895501701538,20.791381365648085
-16.58591013718448,-1.8245210999949257,-0.507405091852665,-1.9842287930660072,3.1333579472751594,17.538692730198797,6.263697130891463e-08,0.16129486975056773,0.6020558331650265,0.13748660386391812,22.95091826550962
-16.76528107139525,-1.5810682913467295,-0.5622208653267426,-1.7761195179372624,3.089220426752633,18.078352572647503,5.235171858629101e-08,0.20575517428215684,0.5699418930732439,0.16929381590659667,21.95995191009687
-16.908577162882327,-1.809352884508041,-1.0466378615835366,-2.2494613865927713,3.1573222624329906,16.31104708530319,4.5362631620614005e-08,0.1637600742031219,0.3511162683230087,0.1054560092884596,23.50756448736448
-16.91985161868709,-1.8385159839896679,-1.1643857249395635,-2.388235231214374,3.1214671887575967,15.549200877448055,4.485406492868899e-08,0.15905328867861268,0.3121143272062596,0.09179153185357165,22.67963054349692
-17.10523991210484,-1.7023705177591584,-1.3547715134484222,-2.341834051804568,3.1152581927160465,15.845751770244062,3.7263933360833e-08,0.1822509823910577,0.2580062386733483,0.0961511302636215,22.53924907222253
-17.103696464233746,-1.6701113812913,-1.4049567546539754,-2.4587044849173716,3.1146030132605547,16.061359840757245,3.732149270794657e-08,0.18822609960512612,0.24537766766562683,0.08554570496112732,22.524486655832238
-16.82411802505555,-1.7081217397991404,-0.7941009489813154,-2.0227179940661895,3.128787688563868,15.626261201531204,4.936036685938171e-08,0.18120582487165154,0.4519874120514898,0.13229539786512934,22.846265957593804
-16.798940116370073,-1.712822035760893,-0.7653669523269688,-2.000958358371451,3.100539463859929,15.429233740026305,5.0618935242751206e-08,0.18035610240269986,0.465163206931233,0.13520564566451856,22.20992950454118
-16.962055657214936,-1.6916398421823013,-1.076573184477687,-2.2056748441814573,3.1022897773099056,17.04019958267541,4.3000432755807876e-08,0.18421718905263187,0.3407612530892102,0.11017614847818781,22.24883788387254
-16.85665454710295,-1.7186508101145226,-0.9086032556872324,-2.1241532559399348,3.0886858794214307,15.79466604567229,4.7780198189261325e-08,0.17930790519865727,0.4030868402783591,0.11953414025051877,21.948216413278693
-17.04903299421878,-1.8629371781798647,-1.5156555246809107,-2.649546199027528,3.1124381374152006,11.46460244571642,3.941840513860395e-08,0.1552160629530372,0.21966414237438409,0.07068328192551346,22.475776683287553
-16.84662295207151,-2.0304856732210115,-1.149310701601001,-2.5117198061629966,3.2029748468359456,12.544720795682482,4.8261921977231854e-08,0.13127175049000775,0.31685510183671245,0.08112859373820691,24.605619377601105
-16.752198009352693,-2.051746898030014,-1.0792583577374923,-2.4974155339824624,3.149095692179449,14.183001463797217,5.3041139402460664e-08,0.12851021315111302,0.3398474774564232,0.08229741889163579,23.314971134163194
-17.084135488484534,-1.2867253029175514,-0.9091306880065474,-1.7848586587994193,3.009289608535411,17.01798669658472,3.805872450113609e-08,0.276173689084964,0.40287429530777635,0.16782077931438957,20.272993047362746
-17.07740598488511,-1.3109945284385578,-0.9129112319546663,-1.7750708189058955,3.005100462137499,16.007526842520377,3.831570452886299e-08,0.26955184605882426,0.4013540867470678,0.16947144729200578,20.188244148273963
-17.007431565649064,-1.52757840665258,-0.978984711816782,-1.99067479746459,3.0606187287278934,15.638420444312255,4.1092855377646026e-08,0.21706066405521082,0.3756923412778101,0.13660321483425453,21.340757217544507
-17.038075775358784,-1.6718719899032828,-1.2022622703754537,-2.236031641445418,3.0871677592013342,17.64201500331387,3.985269619680979e-08,0.18789499866826914,0.3005135993244559,0.10688180925306044,21.914921661259278
-16.87354456689333,-1.7659661979278796,-0.9260040998393371,-2.123244349516083,3.131513762059797,13.392287446365005,4.697996668284417e-08,0.17102146604555288,0.3961334617686768,0.11964283498765166,22.90863152564045
-17.061779353664935,-1.5971742788852823,-1.152357120850254,-2.134539521615905,3.0829304275585843,18.242578380378866,3.891915256373219e-08,0.20246782804983898,0.3158912971771827,0.11829905199277621,21.822257333648206
-17.05905509473006,-1.5918525999456616,-1.1585258528809965,-2.1407946835256464,3.083690505599237,18.250808899569872,3.902532296501116e-08,0.20354816889024435,0.31394864642037185,0.11756138179728354,21.838850257404637
-16.868801880920213,-1.8472875633628123,-1.0650620069537404,-2.3099366555946155,3.119661028882585,13.157460704454989,4.7203307109969696e-08,0.15766424110908175,0.34470647990577846,0.0992675394037512,22.63870447546592
-16.84932283130084,-1.923530842441686,-1.1030383485579722,-2.4036809409956406,3.1379297842492613,17.422983935577133,4.81317963572915e-08,0.14609022883497502,0.33186124022603264,0.09038463968630975,23.056086344699423
-17.041379306570025,-1.6419574972597646,-1.192850866705547,-2.2219526744220737,3.0794080735893097,18.075273236816052,3.972125879438697e-08,0.19360069829320717,0.303355204890063,0.10839723752130997,21.745526834232873
-17.036856425073974,-1.5301325390962903,-1.0472636093493561,-2.0474596304592336,3.0740455908269912,15.240542298455805,3.990132023210888e-08,0.21650696977616138,0.35089662682981637,0.1290623535615827,21.629228922889773
-16.992429525658384,-1.6074509100059118,-1.0522997450166724,-2.106359573898801,3.0737412178648658,11.513294362948484,4.17139794522553e-08,0.20039779556513398,0.34913390618765233,0.12168012863192611,21.62264657220963
-16.94006972848758,-1.615022553429259,-0.9291468359753953,-2.0224872365045106,3.0840955371200724,15.6841775629398,4.3956306588637544e-08,0.19888618482473677,0.3948904730395339,0.13232592955113526,21.847697471717076
-16.92409113816377,-1.6270242808670727,-0.8841472173366346,-2.006889308230682,3.127764163795148,15.881272468987174,4.466430777061627e-08,0.19651347383925333,0.41306627888438646,0.1344061210732113,22.82289420133951
-17.075573190798824,-1.7221400550133936,-1.4374953720614911,-2.512258478963134,3.074581629666615,14.3464502612393,3.83859937186652e-08,0.17868334625832202,0.23752191832974706,0.08108490373981007,21.64082613766464
-17.072400534419618,-1.6904542560747102,-1.3701935087162125,-2.4133885540037694,3.0655648054421825,15.5770858381522,3.850797268286089e-08,0.18443572391310148,0.25405779239856646,0.08951146565728937,21.44657170745828
-16.990457442021707,-1.656624217205475,-1.1152219730027606,-2.18550854781183,3.067645468711209,13.02090897426174,4.179632407711008e-08,0.19078193262255927,0.32784249863840553,0.11242054789103992,21.491241256486354
-17.05637178064627,-1.5331158067642836,-1.0677654648320407,-2.064906435841583,3.113177200397555,14.385578778547934,3.913018078406272e-08,0.2158620340196493,0.3437758389980363,0.1268301567697409,22.49239383763928
-16.849712326417823,-1.8577616698374249,-1.1087702151086498,-2.379070020877692,3.0709045827094537,14.005232518671017,4.811305290811658e-08,0.15602146737258904,0.3299644970162049,0.09263668764929506,21.561397923894123
-16.98951820016294,-1.6779680241256174,-1.0883744260244417,-2.1575550761181352,3.091688167295198,12.597848299042104,4.183559937584086e-08,0.1867530684852498,0.3367634829543482,0.11560742714851584,22.01421029401011
-17.127032786021967,-1.5454603967184086,-1.3182510451143297,-2.286967698493582,3.070967381133062,11.309371499763136,3.6460630095275906e-08,0.2132136857412777,0.2676029183581484,0.10157399833473364,21.562751988210646
-17.191219140042893,-1.4664564743796655,-1.3245825882029447,-2.202257857429846,3.0720588450730157,18.53073761090637,3.4193880554500626e-08,0.23074167727899803,0.2659139315387361,0.1105532628483588,21.58629980290955
-17.188334477430203,-1.4636578885173848,-1.3265455816532887,-2.2023021545881427,3.072106914647761,18.507400912049224,3.429266076861612e-08,0.2313883321123527,0.26539245622653346,0.11054836576143852,21.587337472101357
-17.124330572712264,-1.440485232752113,-1.1571712709580892,-2.052249825733464,3.042897727143177,15.39626679438268,3.6559287732156465e-08,0.23681282146163157,0.314374203742591,0.1284455980544661,20.965908779497333
-17.120355818372975,-1.6926846749478597,-1.5147478022089813,-2.5587596094380847,3.07500691368992,13.70893957528293,3.6704891096819e-08,0.18402481341521626,0.2198636269773256,0.07740068800766174,21.650031592599817
-17.10425509752589,-1.761035723758063,-1.482260245910304,-2.5439557739228853,3.1351346414281993,11.6068103504346,3.730064950200383e-08,0.17186676511658797,0.22712375225941975,0.07855503838667141,22.991731273178893
-17.210473954186885,-1.5765236120501451,-1.628562022668155,-2.5634265208843807,3.0521478981154235,12.316593680617121,3.354178190559678e-08,0.2066923936304476,0.19621151907978412,0.07704030743704499,21.160746773389032
-16.883336495727416,-1.6905864502785082,-0.8904058855681763,-2.061663126254414,3.1158285774899297,16.663147055625767,4.6522187122619886e-08,0.1844113441908914,0.41048910733058835,0.12724217402171673,22.552108783851292
-16.873252844583714,-1.7207517327266948,-0.9264543568325357,-2.1016101311786732,3.085427461383645,20.380467019192874,4.69936737864673e-08,0.17893158861051675,0.3959551400555873,0.1222594159901795,21.87681633784022
-16.892556032821847,-1.6632979670683354,-0.9020696216229026,-2.052348315416874,3.0808770735118456,20.13374201054589,4.609524522024458e-08,0.18951294090250045,0.4057290845179507,0.128432948111133,21.777494485958073
