beta_log__,sigma_log__,gamma_log__,kappa_log__,tint_log__,dispersion,beta,sigma,gamma,kappa,tint
-17.509838987561565,-1.9230861770686138,-1.1278816004375471,-1.7567201764635583,3.07800586023219,11.688870245290344,2.4864146081392207e-08,0.14615520454623593,0.3237182952681286,0.17261006699340292,21.715056334112038
-17.45302064692784,-1.8524914145904907,-0.9521520118346743,-1.6372453710233614,3.0712183925862173,17.169537939029205,2.631779141200721e-08,0.15684591093536704,0.3859096470818223,0.19451512197092385,21.56816516527753
-17.24030150509596,-2.5710883559754905,-1.2763514203073896,-2.2175393431010066,3.286809183307799,21.792197151132413,3.255608622095759e-08,0.07645229281816529,0.27905359458906875,0.10887668765271384,26.757349501029076
-17.420196226604958,-1.7565643874463646,-0.7941449186122698,-1.5127212739607434,3.0943684676734162,17.945561373281123,2.7195992022795395e-08,0.1726369598408483,0.45196753876869955,0.22030963860309385,22.073294136037813
-17.33835069189441,-1.654847025783784,-0.5444471162678237,-1.3250593838988354,3.1161413756095815,17.473884708538968,2.951548807468169e-08,0.1911212900989085,0.5801624570685664,0.2657871751415547,22.559164144467303
-17.034423321322407,-1.9699224799359398,-0.36812441702458876,-1.4712138486295752,3.148533269792258,27.715435960525703,3.999852248769141e-08,0.13946766733851243,0.692031075884943,0.2296465597724895,23.301861959232916
-16.979463265399655,-1.9232846768024723,-0.2554800881420208,-1.4141414068033937,3.145168830798943,26.427721522946936,4.2258375529727845e-08,0.1461261956562552,0.774544559028233,0.24313427729359113,23.223596000589268
-17.065061877452667,-2.5021049271244946,-0.8950908936037865,-2.0131362988518173,3.2732554710409825,18.64304419094639,3.8791608966612236e-08,0.08191239740400492,0.40857046051150825,0.13356910443502654,26.39713472296212
-17.064698655790572,-2.492850787125849,-0.8874169778620321,-2.029334653585008,3.2761584173827676,18.732934969813908,3.880570147849429e-08,0.0826739444940564,0.41171785678136846,0.1314229338432872,26.473875521958767
-17.35483963548492,-2.438867245230093,-1.3652288200887581,-2.2497654734239,3.2714766550188346,16.413473327231802,2.9032799306983542e-08,0.08725963927284285,0.2553222464443126,0.10542394637997278,26.350220814754273
-17.5143339907573,-1.9972335988625973,-1.193913863329341,-1.870034908276006,3.1669230470983036,20.493145245835464,2.4752632480055763e-08,0.1357101932547414,0.3030329106606418,0.15411828171771125,23.73434243318931
-17.36245769087933,-2.067770690492455,-0.9823841634644679,-1.7994687190142702,3.1649018489345497,20.104680192361574,2.8812466154270372e-08,0.12646740266141476,0.37441736167282375,0.16538673171058244,23.686419071465675
-17.638750880733685,-1.8685108007902054,-1.2907952725337872,-1.8037799605090221,3.1155361656705596,19.595533158170756,2.18568627350761e-08,0.15435335363650737,0.2750519548221957,0.16467524436904787,22.545515244752536
-17.33841321989749,-2.5244396755838134,-1.4712193214979497,-2.3436370677642024,3.2514302389115417,16.30981010749864,2.9513642587850322e-08,0.0801031839841334,0.22964530295053442,0.09597792443457877,25.827252655609588
-17.60804786960135,-1.913135447137887,-1.2667736313724156,-1.8195982379433282,3.1388919337233867,18.563944047424922,2.2538342440801782e-08,0.1476168155022449,0.28173915133772814,0.16209085981107219,23.078280421348808
-17.39620195177363,-2.3385776902476785,-1.3410015382608589,-2.1216138454273663,3.205092472230842,16.47341409673491,2.7856431831152522e-08,0.09646474344969828,0.261583551406902,0.11983807224360282,24.65778007096453
-17.419708440489238,-2.16874881131957,-1.170693301742044,-1.9406248351905755,3.211429828201449,22.545814287549828,2.7209261086076662e-08,0.11432056406095352,0.3101518378988183,0.14361418653939262,24.814541402243794
-17.39307322293958,-2.136920495765368,-1.0943104433776856,-1.8665859111245289,3.175926289201969,22.480864065560645,2.794372353746785e-08,0.1180177200630083,0.3347703705031303,0.15465075295039074,23.9489932911723
-17.386034841773174,-2.201344290865172,-1.1348515483211645,-1.9544736990249298,3.2434093816816687,24.580117815402733,2.814109589106278e-08,0.11065430676105514,0.321469840529828,0.14163900182585795,25.62092451983977
-17.430472911392123,-2.1611103975865245,-1.1938916523509562,-1.9858403598095529,3.2290711293801784,23.941606481227236,2.691793856626984e-08,0.11519713537263357,0.30303964139281814,0.13726521346606455,25.256186342599495
-17.447088238923023,-2.1505991222386043,-1.2068860132687529,-1.9749398305668977,3.221489513262747,22.127064769738546,2.6474383312720857e-08,0.11641439042580143,0.29912730909981733,0.1387696616836375,25.065427676396194
-17.467871781006167,-1.8139115171476399,-0.9313310911807366,-1.6068903713789822,3.0960155942672554,21.848816356701093,2.5929830324739316e-08,0.1630152511609668,0.3940288727882303,0.2005101577590327,22.109681604980125
-17.37702178033628,-2.334016150583679,-1.2869209013154843,-2.1288941034198543,3.2535592464352385,18.00501835315611,2.839587978388575e-08,0.09690577633287882,0.27611967523651104,0.11896878830550622,25.88229764563701
-17.52365237157384,-2.1263875620518387,-1.344833498874956,-1.9878892863677011,3.181517906495304,17.84244762101557,2.4523049357144272e-08,0.11926736253290063,0.2605830916260756,0.13698425505455053,24.083281991836564
-17.401250788704797,-2.2952979383992216,-1.2905135763947073,-2.1141273664025997,3.232258172212676,17.47378226828374,2.7716143693322597e-08,0.10073137705180381,0.2751294468099999,0.12073860415843574,25.336807293229796
-17.512371974836576,-2.3575474237843927,-1.6273094731330622,-2.2943688841087986,3.2206453268763737,17.0752590852303,2.480124521294484e-08,0.09465208019724806,0.1964574377072672,0.10082500545603479,25.044276712517142
-17.528175654277852,-2.2549359227321313,-1.5694620805783637,-2.2414388438491284,3.1858425136340647,17.65026933093234,2.4412375166164572e-08,0.10488026396174577,0.20815712400628253,0.10630543736121556,24.18765825555852
-17.50167698396973,-2.2814327615296386,-1.5505838927486397,-2.277388811805354,3.178561648593039,17.961552285293035,2.5067917792492856e-08,0.10213776277374062,0.21212407994780083,0.1025516390347163,24.012190732958572
-17.193338609164684,-2.194031047926207,-0.7858401495670995,-1.8230546774377445,3.258363717509257,17.912006602814863,3.4121484428289366e-08,0.11146651490640737,0.45573665394690765,0.16153156969457963,26.006947594768224
-17.191384298807662,-2.1899893992194466,-0.7933460787948045,-1.8239314937042177,3.2582134461287353,17.92553674585626,3.418823360176028e-08,0.11191793502850965,0.4523287326837025,0.1613899982618601,26.00303978847308
-17.155323995852175,-2.2404873837437744,-0.7704228908237327,-1.7288196402715665,3.1949752989159648,14.174786140267749,3.544356953201502e-08,0.10640663087700955,0.4628173057293881,0.17749379289716272,24.409570741990223
